"","title","artist","year","id","lang"
"299","'65 Love Affair","Paul Davis",1982,"1570222","en"
"300","Jack & Diane","John Cougar",1982,"193981","en"
"301","Abracadabra","The Steve Miller Band",1982,"149385","en"
"302","Hard To Say I'm Sorry","Chicago",1982,"1094995","en"
"303","Eye In The Sky","The Alan Parsons Project",1982,"350510","en"
"304","Who Can It Be Now?","Men At Work",1982,"656955","en"
"305","Eye Of The Tiger","Survivor",1982,"202978","en"
"306","I Keep Forgettin' (Every Time You're Near)","Michael McDonald",1982,"117239","en"
"307","Somebody's Baby","Jackson Browne",1982,"870178","en"
"308","You Can Do Magic","America",1982,"798872","en"
"309","I Ran (So Far Away)","A Flock Of Seagulls",1982,"108169","en"
"310","Heart Attack","Olivia Newton-John",1982,"1452607","en"
"311","Blue Eyes","Elton John",1982,"390457","en"
"312","Break It To Me Gently","Juice Newton",1982,"1668256","en"
"313","You Should Hear How She Talks About You","Melissa Manchester",1982,"527484","en"
"314","Hurts So Good","John Cougar",1982,"381807","en"
"315","Hold On","Santana",1982,"880951","en"
"316","Up Where We Belong","Joe Cocker And Jennifer Warnes",1982,"1498650","en"
"317","Gloria","Laura Branigan",1982,"748588","en"
"318","What's Forever For","Michael Murphey",1982,"709598","en"
"319","Do You Wanna Touch Me (Oh Yeah)","Joan Jett and The Blackhearts",1982,"704675","en"
"320","Gypsy","Fleetwood Mac",1982,"185180","en"
"321","Big Fun","Kool and The Gang",1982,"910719","en"
"322","Don't Fight It","Kenny Loggins with Steve Perry",1982,"1257255","en"
"323","Jump To It","Aretha Franklin",1982,"436967","en"
"324","Think I'm In Love","Eddie Money",1982,"1427479","en"
"325","The One You Love","Glenn Frey",1982,"989441","en"
"326","Heartlight","Neil Diamond",1982,"227842","en"
"327","You Don't Want Me Anymore","Steel Breeze",1982,"1899912","en"
"328","Voyeur","Kim Carnes",1982,"1137171","en"
"329","Make Believe","Toto",1982,"2458616","en"
"330","You Dropped A Bomb On Me","The Gap Band",1982,"1647819","en"
"331","Love Come Down","Evelyn King",1982,"381066","en"
"332","New World Man","Rush",1982,"232052","en"
"333","Nobody","Sylvia",1982,"2824661","en"
"334","Sweet Time","REO Speedwagon",1982,"1193370","en"
"335","Southern Cross","Crosby and Stills and Nash",1982,"2176837","en"
"336","Athena","The Who",1982,"339648","en"
"337","You Keep Runnin' Away","38 Special",1982,"751643","en"
"338","Mickey","Toni Basil",1982,"374662","en"
"339","I Get Excited","Rick Springfield",1982,"1575288","en"
"340","Steppin' Out","Joe Jackson",1982,"1790903","en"
"341","Johnny Can't Read","Don Henley",1982,"1430764","en"
"342","Young Love","Air Supply",1982,"1371952","en"
"343","Pressure","Billy Joel",1982,"342534","en"
"344","Rock This Town","Stray Cats",1982,"1645465","en"
"345","I Need You","Paul Carrack",1982,"1737954","en"
"346","The Look Of Love (Part One)","ABC",1982,"2270822","en"
"347","American Heartbeat","Survivor",1982,"1507134","en"
"348","Let Me Tickle Your Fancy","Jermaine Jackson",1982,"1756228","en"
"349","Love Me Tomorrow","Chicago",1982,"670937","en"
"350","I'm So Excited","The Pointer Sisters",1982,"200111","en"
"351","Take The L.","The Motels",1982,"1718145","en"
"352","A Penny For Your Thoughts","Tavares",1982,"966573","en"
"353","Muscles","Diana Ross",1982,"886185","en"
"354","What About Me","Moving Pictures",1982,"1394676","en"
"355","I.g.y. (what A Beautiful World)","Donald Fagen",1982,"358989","en"
"356","Only Time Will Tell","Asia",1982,"1374953","en"
"357","Ribbon In The Sky","Stevie Wonder",1982,"155197","en"
"358","State Of Independence","Donna Summer",1982,"735944","en"
